Rank,State,Score
1,Mississippi,78.86
2,Alabama,75.45
3,Arkansas,75.03
4,Oklahoma,75.03
5,Tennessee,68.81
6,Texas,67.54
7,Louisiana,65.88
8,Kentucky,63.91
9,South Carolina,61.39
10,North Carolina,60.67
11,Kansas,60.36
12,Georgia,60.26
13,Missouri,59.60
14,Virginia,57.37
15,Indiana,54.57
16,Pennsylvania,52.75
17,West Virginia,52.48
18,Ohio,52.30
19,Wyoming,51.94
20,North Dakota,51.44
21,South Dakota,51.14
22,Delaware,51.02
23,Utah,49.69
24,Nebraska,49.65
25,Florida,49.28
26,Iowa,49.02
27,Michigan,48.93
28,Minnesota,47.84
29,Arizona,47.56
30,Wisconsin,46.91
31,Montana,46.11
32,Illinois,45.95
33,Idaho,45.50
34,Maryland,45.50
35,New Mexico,45.43
36,Rhode Island,43.23
37,Colorado,42.92
38,New Jersey,39.48
39,New York,39.42
40,Alaska,38.43
41,Vermont,37.23
42,New Hampshire,36.97
43,Hawaii,36.49
44,Connecticut,36.37
45,Massachusetts,35.12
46,Maine,34.00
47,Nevada,33.61
48,Washington,31.06
49,Oregon,30.07
50,California,27.37
