STATE,ZIP_CODE,coname,CBSA2020 Update,SumOfZPopPct,STCountyFIPS
AL,36091,Autauga County,Metro,9.49,01001
AL,36703,Autauga County,Metro,1.25,01001
AL,36758,Autauga County,Metro,20.82,01001
AL,36480,Baldwin County,Metro,1.02,01003
AL,36502,Baldwin County,Metro,1.2,01003
AL,36507,Baldwin County,Metro,100,01003
AL,36511,Baldwin County,Metro,100,01003
AL,36530,Baldwin County,Metro,100,01003
AL,36535,Baldwin County,Metro,100.01,01003
AL,36536,Baldwin County,Metro,,01003
AL,36542,Baldwin County,Metro,100,01003
AL,36547,Baldwin County,Metro,,01003
AL,36550,Baldwin County,Metro,100,01003
AL,36555,Baldwin County,Metro,100,01003
AL,36562,Baldwin County,Metro,96.12,01003
AL,36579,Baldwin County,Metro,100,01003
AL,36580,Baldwin County,Metro,100,01003
AL,36005,Barbour County,Micro,0.59,01005
AL,36016,Barbour County,Micro,100.01,01005
AL,36017,Barbour County,Micro,100,01005
AL,36027,Barbour County,Micro,98.87,01005
AL,36048,Barbour County,Micro,100,01005
AL,36053,Barbour County,Micro,35.33,01005
AL,36072,Barbour County,Micro,,01005
AL,36311,Barbour County,Micro,22.06,01005
AL,36374,Barbour County,Micro,8.45,01005
AL,36750,Bibb County,Metro,1.93,01007
AL,35013,Blount County,Metro,100,01009
AL,35016,Blount County,Metro,1.78,01009
AL,35063,Blount County,Metro,10.89,01009
AL,35121,Blount County,Metro,99.25,01009
AL,35952,Blount County,Metro,40.08,01009
AL,35957,Blount County,Metro,2.42,01009
AL,35976,Blount County,Metro,2.19,01009
AL,35980,Blount County,Metro,23.83,01009
AL,36005,Bullock County,Neither,27.21,01011
AL,36029,Bullock County,Neither,79.11,01011
AL,36053,Bullock County,Neither,64.67,01011
AL,36061,Bullock County,Neither,,01011
AL,36081,Bullock County,Neither,1.74,01011
AL,36089,Bullock County,Neither,95.22,01011
AL,36015,Butler County,Neither,,01013
AL,36030,Butler County,Neither,100,01013
AL,36033,Butler County,Neither,97.3,01013
AL,36037,Butler County,Neither,99.75,01013
AL,36042,Butler County,Neither,40.2,01013
AL,36071,Butler County,Neither,2.22,01013
AL,36456,Butler County,Neither,68.46,01013
AL,36474,Butler County,Neither,0.24,01013
AL,35096,Calhoun County,Metro,4.64,01015
AL,36274,Chambers County,Micro,5.36,01017
AL,36276,Chambers County,Micro,14.2,01017
AL,36850,Chambers County,Micro,10.95,01017
AL,36854,Chambers County,Micro,82.49,01017
AL,36855,Chambers County,Micro,100,01017
AL,36862,Chambers County,Micro,100,01017
AL,36863,Chambers County,Micro,99.99,01017
AL,36872,Chambers County,Micro,,01017
AL,35959,Cherokee County,Neither,100,01019
AL,35960,Cherokee County,Neither,100,01019
AL,35961,Cherokee County,Neither,9.3,01019
AL,35967,Cherokee County,Neither,2.03,01019
AL,35973,Cherokee County,Neither,100,01019
AL,35983,Cherokee County,Neither,100,01019
AL,35984,Cherokee County,Neither,13.23,01019
AL,36275,Cherokee County,Neither,,01019
AL,35045,Chilton County,Metro,100,01021
AL,35046,Chilton County,Metro,98.9,01021
AL,36091,Chilton County,Metro,89.39,01021
AL,36750,Chilton County,Metro,98.07,01021
AL,36758,Chilton County,Metro,31.52,01021
AL,36790,Chilton County,Metro,100,01021
AL,36558,Choctaw County,Neither,6.67,01023
AL,36904,Choctaw County,Neither,100,01023
AL,36908,Choctaw County,Neither,100,01023
AL,36910,Choctaw County,Neither,100,01023
AL,36912,Choctaw County,Neither,100,01023
AL,36913,Choctaw County,Neither,100,01023
AL,36915,Choctaw County,Neither,100,01023
AL,36916,Choctaw County,Neither,100,01023
AL,36919,Choctaw County,Neither,99.25,01023
AL,36921,Choctaw County,Neither,100,01023
AL,36922,Choctaw County,Neither,73.78,01023
